,dim_ad_channel_level1,install_deviceid_cnt,day1_ltv_sum,day2_ltv_sum,day3_ltv_sum,day4_ltv_sum,day5_ltv_sum,day6_ltv_sum,day7_ltv_sum,day30_ltv_sum,day60_ltv_sum,day90_ltv_sum,day180_ltv_sum,day360_ltv_sum,dt,diff_0,month,weekday,is_holiday,is_promo,days_to_next_promo,days_past_last_promo,season,day7_ltv_label,install_deviceid_cnt_zscore,lag_1_install_cnt_zscore,lag_2_install_cnt_zscore,lag_3_install_cnt_zscore,lag_4_install_cnt_zscore,lag_5_install_cnt_zscore,lag_6_install_cnt_zscore,lag_7_install_cnt_zscore,lag_1_install_cnt,lag_2_install_cnt,lag_3_install_cnt,lag_4_install_cnt,lag_5_install_cnt,lag_6_install_cnt,lag_7_install_cnt,avg_day1_ltv,lag_1_avg_day1_ltv,lag_2_avg_day1_ltv,lag_3_avg_day1_ltv,lag_4_avg_day1_ltv,lag_5_avg_day1_ltv,lag_6_avg_day1_ltv,lag_7_avg_day1_ltv,lag_1_contrib_ltv,lag_2_contrib_ltv,lag_3_contrib_ltv,lag_4_contrib_ltv,lag_5_contrib_ltv,lag_6_contrib_ltv,lag_7_contrib_ltv
2,信息流,27353,507017.0,666733.23,748206.32,815981.51,874111.48,913893.32,963841.31,1436548.31,1624616.13,1723192.63,1903053.96,2260588.08,2021-12-31,0,12,4,0,0,1,0,winter,963841.31,,,,,,,,,,,,,,,,18.536065513837606,,,,,,,,,,,,,,
6,信息流,31204,558389.91,736437.02,835375.87,908750.34,969025.39,1019263.33,1081194.03,1627451.27,1795978.75,1916883.13,2201911.05,2697690.61,2022-01-01,0,1,5,1,0,0,0,winter,1081194.03,1.0,-1.0,,,,,,,27353.0,,,,,,,17.8948182925266,18.536065513837606,,,,,,,24.375140935180784,,,,,,
10,信息流,30202,580690.45,752513.99,819027.98,913092.94,983862.53,1062928.13,1129981.91,1748719.78,1918868.07,2053165.58,2319873.08,2834951.41,2022-01-02,0,1,6,0,0,0,1,winter,1129981.91,0.3774027111342393,0.9916271560013324,-1.3690298671355696,,,,,,31204.0,27353.0,,,,,,19.226887292232302,17.8948182925266,18.536065513837606,,,,,,23.6007249070632,27.353720615654588,,,,,
14,信息流,33856,559693.31,756857.33,889135.87,1004461.71,1116927.72,1192042.1,1269620.59,1902413.68,2110504.69,2253177.06,2578037.19,3123151.78,2022-01-03,0,1,0,0,0,0,2,winter,1269620.59,1.37623949019838,-0.19414979770383894,0.2364824043974264,-1.4185720968919677,,,,,30202.0,31204.0,27353.0,,,,,16.531584061909264,19.226887292232302,17.8948182925266,18.536065513837606,,,,,24.916031719753658,26.771435392898347,29.8315179322195,,,,
18,信息流,33976,500054.14,749159.16,870898.47,1005878.5,1074578.03,1146993.96,1186151.15,1758961.93,2016451.51,2158952.13,2484225.81,3034044.61,2022-01-04,0,1,1,0,0,0,3,winter,1186151.15,1.0763573297034328,1.0277596626237384,-0.45203929995295844,-0.04624877983750954,-1.605828912536705,,,,33856.0,30202.0,31204.0,27353.0,,,,14.717863786202026,16.531584061909264,19.226887292232302,17.8948182925266,18.536065513837606,,,,22.355190512759922,27.118335871796567,29.122879759005254,31.956695060870835,,,
22,信息流,34694,510705.54,722488.29,885077.34,982266.12,1052429.07,1138665.7,1195298.96,1748399.58,2016754.43,2163097.76,2499450.81,3014084.39,2022-01-05,0,1,2,0,0,0,4,winter,1195298.96,1.089769460784565,0.8116293555022672,0.7651435440344737,-0.6503494151598382,-0.26219288940376256,-1.7540000557577022,,,33976.0,33856.0,30202.0,31204.0,27353.0,,,14.720284198996945,14.717863786202026,16.531584061909264,19.226887292232302,17.8948182925266,18.536065513837606,,,22.04965740522722,26.262283494801512,30.232863386530692,31.054524740417897,33.41108178261982,,
26,信息流,34339,545388.6,813538.16,914044.6,1005555.52,1085407.95,1180408.07,1242181.46,1754389.64,2043620.13,2149859.73,2469170.57,2989778.58,2022-01-06,0,1,3,0,0,0,5,winter,1242181.46,0.8295190179986894,0.9692813584778232,0.6866071036496034,0.6393634956003188,-0.7992043695003985,-0.40472024228887177,-1.9208463639371647,,34694.0,33976.0,33856.0,30202.0,31204.0,27353.0,,15.882483473601443,14.720284198996945,14.717863786202026,16.531584061909264,19.226887292232302,17.8948182925266,18.536065513837606,,20.824588977921255,25.632754591476335,29.668646916351605,32.57607211442951,32.66450871683117,35.23713340401419,
30,信息流,32428,638744.23,833741.85,969617.13,1056871.1,1129479.33,1198786.79,1253158.08,1673932.34,1905905.84,2049005.99,2384514.31,2890921.843,2022-01-07,0,1,4,0,0,0,6,winter,1253158.08,0.07215398933209631,0.8761555847468838,1.0255122390494738,0.7234331466853622,0.672946390301388,-0.8643753415906232,-0.4428109257844395,-2.0630150827401414,34339.0,34694.0,33976.0,33856.0,30202.0,31204.0,27353.0,19.69730572344887,15.882483473601443,14.720284198996945,14.717863786202026,16.531584061909264,19.226887292232302,17.8948182925266,18.536065513837606,23.691375986487667,25.51096270248458,29.605559806922532,32.990539933837425,35.193964969207336,34.649212600948594,35.23713340401419
34,信息流,31414,611337.5,790537.97,930781.76,1020171.842,1090798.742,1165842.362,1235078.102,1686394.432,1928177.202,2020905.132,2306054.962,2826956.872,2022-01-08,0,1,5,0,0,0,7,winter,1235078.102,-0.8582007077437411,-0.21365630063169336,1.0010620050794736,1.226716112105881,0.7703227350778233,0.6940452904491786,-1.6286028984930525,-0.9916862358438693,32428.0,34339.0,34694.0,33976.0,33856.0,30202.0,31204.0,19.46067040173171,19.69730572344887,15.882483473601443,14.720284198996945,14.717863786202026,16.531584061909264,19.226887292232302,17.8948182925266,25.710554150733934,26.618264946562217,28.312276474318328,31.62756151400989,35.20918301039698,37.41414177869015,34.649212600948594
38,信息流,31260,561424.76,780129.51,915604.04,995247.4,1073434.87,1156042.52,1212210.63,1611731.4,1847056.38,1953272.96,2274105.54,2844295.37,2022-01-09,0,1,6,0,0,0,8,winter,1212210.63,-0.964738835845175,-0.8664215022558577,-0.21905931875217183,1.0009694116970824,1.2276100183477812,0.7692214110936919,0.6926105018033148,-1.6401916860886656,31414.0,32428.0,34339.0,34694.0,33976.0,33856.0,30202.0,17.959845169545744,19.46067040173171,19.69730572344887,15.882483473601443,14.720284198996945,14.717863786202026,16.531584061909264,19.226887292232302,25.165148341503787,29.900614592327617,29.283191706223246,30.33461318960051,33.75894631504591,37.50060816398866,37.41414177869015
