,dim_ad_channel_level1,install_deviceid_cnt,day1_ltv_sum,day2_ltv_sum,day3_ltv_sum,day4_ltv_sum,day5_ltv_sum,day6_ltv_sum,day7_ltv_sum,day30_ltv_sum,day60_ltv_sum,day90_ltv_sum,day180_ltv_sum,day360_ltv_sum,dt,diff_0,month,weekday,is_holiday,is_promo,days_to_next_promo,days_past_last_promo,season,day7_ltv_label,lag_1_install_cnt,lag_2_install_cnt,lag_3_install_cnt,lag_4_install_cnt,lag_5_install_cnt,lag_6_install_cnt,lag_7_install_cnt,zscore_lag_1_install_cnt,zscore_lag_2_install_cnt,zscore_lag_3_install_cnt,zscore_lag_4_install_cnt,zscore_lag_5_install_cnt,zscore_lag_6_install_cnt,zscore_lag_7_install_cnt,avg_day1_ltv,lag_1_avg_day1_ltv,lag_2_avg_day1_ltv,lag_3_avg_day1_ltv,lag_4_avg_day1_ltv,lag_5_avg_day1_ltv,lag_6_avg_day1_ltv,lag_7_avg_day1_ltv,lag_1_contrib_ltv,lag_2_contrib_ltv,lag_3_contrib_ltv,lag_4_contrib_ltv,lag_5_contrib_ltv,lag_6_contrib_ltv,lag_7_contrib_ltv
4830,信息流,25500,1019559.445,1343596.004,1517978.32,1640845.279,1756791.745,1843964.067,1895921.309,2369557.618,2369557.618,2369557.618,2369557.618,2369557.618,2025-04-21,0,4,0,0,0,10,0,spring,1895921.309,27830.0,24982.0,22829.0,21788.0,23790.0,25730.0,26597.0,,,,,,,,39.98272333333333,37.377200323392024,39.167162757185174,40.05731459985107,41.740891545805034,37.95955229087852,35.58748445394481,37.97058540436891,1357677.439,1387925.115,1378199.998,1396392.269,1464692.034,1577835.345,1742086.588
4834,信息流,26093,965253.984,1323826.807,1525916.755,1632084.846,1710474.968,1781038.307,1823021.114,2229771.596,2229771.596,2229771.596,2229771.596,2229771.596,2025-04-22,0,4,1,0,0,9,0,spring,1823021.114,25500.0,27830.0,24982.0,22829.0,21788.0,23790.0,25730.0,,,,,,,,36.99283271375465,39.98272333333333,37.377200323392024,39.167162757185174,40.05731459985107,41.740891545805034,37.95955229087852,35.58748445394481,1343596.004,1520135.255,1489507.068,1452577.765,1452356.949,1514031.889,1577835.345
4838,信息流,25031,1086559.394,1411868.32,1577898.2,1678733.516,1750897.444,1831584.13,1885578.539,2244740.294,2244740.294,2244740.294,2244740.294,2244740.294,2025-04-23,0,4,2,0,0,8,0,spring,1885578.539,26093.0,25500.0,27830.0,24982.0,22829.0,21788.0,23790.0,,,,,,,,43.40854915904279,36.99283271375465,39.98272333333333,37.377200323392024,39.167162757185174,40.05731459985107,41.740891545805034,37.95955229087852,1323826.807,1517978.32,1660192.269,1563577.722,1510209.814,1500223.508,1514031.889
4842,信息流,25592,1046022.437,1393115.567,1516884.359,1615564.183,1687230.429,1761728.037,1807938.54,2127855.425,2127855.425,2127855.425,2127855.425,2127855.425,2025-04-24,0,4,3,0,0,7,0,spring,1807938.54,25031.0,26093.0,25500.0,27830.0,24982.0,22829.0,21788.0,,,,,,,,40.873024265395436,43.40854915904279,36.99283271375465,39.98272333333333,37.377200323392024,39.167162757185174,40.05731459985107,41.740891545805034,1411868.32,1525916.755,1640845.279,1741235.773,1621863.713,1564317.08,1500223.508
4846,信息流,27753,1325871.455,1619584.601,1771707.351,1901419.901,1958715.243,2008208.114,2054448.541,2425328.373,2425328.373,2425328.373,2425328.373,2425328.373,2025-04-25,0,4,4,0,0,6,0,spring,2054448.541,25592.0,25031.0,26093.0,25500.0,27830.0,24982.0,22829.0,,,,,,,,47.773986776204374,40.873024265395436,43.40854915904279,36.99283271375465,39.98272333333333,37.377200323392024,39.167162757185174,40.05731459985107,1393115.567,1577898.2,1632084.846,1756791.745,1820458.46,1677750.691,1564317.08
4850,信息流,32381,1394228.613,1748090.704,1934771.249,2013110.876,2080915.886,2139301.83,2188685.123,2559991.376,2559991.376,2559991.376,2559991.376,2559991.376,2025-04-26,0,4,5,0,0,5,0,spring,2188685.123,27753.0,25592.0,25031.0,26093.0,25500.0,27830.0,24982.0,,,,,,,,43.05699678824001,47.773986776204374,40.873024265395436,43.40854915904279,36.99283271375465,39.98272333333333,37.377200323392024,39.167162757185174,1619584.601,1516884.359,1678733.516,1710474.968,1843964.067,1875159.861,1677750.691
4854,信息流,35486,1406672.472,1824777.942,1964270.673,2047155.643,2126897.619,2189310.986,2220470.846,2599264.696,2599264.696,2599264.696,2599264.696,2599264.696,2025-04-27,0,4,6,0,0,4,0,spring,2220470.846,32381.0,27753.0,25592.0,25031.0,26093.0,25500.0,27830.0,,,,,,,,39.64020943470665,43.05699678824001,47.773986776204374,40.873024265395436,43.40854915904279,36.99283271375465,39.98272333333333,37.377200323392024,1748090.704,1771707.351,1615564.183,1750897.444,1781038.307,1895921.309,1875159.861
4858,信息流,33291,1383834.134,1674451.39,1802622.055,1891360.154,1956756.381,2008683.68,2064676.097,2412967.4,2412967.4,2412967.4,2412967.4,2412967.4,2025-04-28,0,4,0,0,0,3,0,spring,2064676.097,35486.0,32381.0,27753.0,25592.0,25031.0,26093.0,25500.0,,,,,,,,41.56781514523445,39.64020943470665,43.05699678824001,47.773986776204374,40.873024265395436,43.40854915904279,36.99283271375465,39.98272333333333,1824777.942,1934771.249,1901419.901,1687230.429,1831584.13,1823021.114,1895921.309
4862,信息流,33252,1280139.633,1591479.205,1680954.494,1739505.884,1793243.087,1834469.672,1869234.373,2266588.17,2266588.17,2266588.17,2266588.17,2266588.17,2025-04-29,0,4,1,0,0,2,0,spring,1869234.373,33291.0,35486.0,32381.0,27753.0,25592.0,25031.0,26093.0,,,,,,,,38.49812441356911,41.56781514523445,39.64020943470665,43.05699678824001,47.773986776204374,40.873024265395436,43.40854915904279,36.99283271375465,1674451.39,1964270.673,2013110.876,1958715.243,1761728.037,1885578.539,1823021.114
4866,信息流,33456,1168332.485,1423245.405,1536827.366,1600560.271,1644030.341,1689502.295,1742385.674,2066623.649,2066623.649,2066623.649,2066623.649,2066623.649,2025-04-30,0,4,2,0,0,1,0,spring,1742385.674,33252.0,33291.0,35486.0,32381.0,27753.0,25592.0,25031.0,,,,,,,,34.92146356408417,38.49812441356911,41.56781514523445,39.64020943470665,43.05699678824001,47.773986776204374,40.873024265395436,43.40854915904279,1591479.205,1802622.055,2047155.643,2080915.886,2008208.114,1807938.54,1885578.539
4870,信息流,33361,1276641.125,1532911.443,1639476.082,1711235.824,1761048.799,1810436.336,1844586.475,2098570.38,2098570.38,2098570.38,2098570.38,2098570.38,2025-05-01,0,5,3,1,0,0,0,spring,1844586.475,33456.0,33252.0,33291.0,35486.0,32381.0,27753.0,25592.0,,,,,,,,38.267471748448784,34.92146356408417,38.49812441356911,41.56781514523445,39.64020943470665,43.05699678824001,47.773986776204374,40.873024265395436,1423245.405,1680954.494,1891360.154,2126897.619,2139301.83,2054448.541,1807938.54
4874,信息流,35168,1304188.915,1549431.835,1675587.233,1729394.799,1802817.078,1844160.249,1886640.167,2214186.621,2214186.621,2214186.621,2214186.621,2214186.621,2025-05-02,0,5,4,0,0,0,0,spring,1886640.167,33361.0,33456.0,33252.0,33291.0,35486.0,32381.0,27753.0,,,,,,,,37.0845346621929,38.267471748448784,34.92146356408417,38.49812441356911,41.56781514523445,39.64020943470665,43.05699678824001,47.773986776204374,1532911.443,1536827.366,1739505.884,1956756.381,2189310.986,2188685.123,2054448.541
4878,信息流,36891,1221093.425,1479471.507,1577475.114,1652218.425,1695175.838,1762727.503,1814212.011,2098620.143,2098620.143,2098620.143,2098620.143,2098620.143,2025-05-03,0,5,5,0,0,0,0,spring,1814212.011,35168.0,33361.0,33456.0,33252.0,33291.0,35486.0,32381.0,,,,,,,,33.100035916619234,37.0845346621929,38.267471748448784,34.92146356408417,38.49812441356911,41.56781514523445,39.64020943470665,43.05699678824001,1549431.835,1639476.082,1600560.271,1793243.087,2008683.68,2220470.846,2188685.123
4882,信息流,39036,1201584.536,1487313.112,1597867.939,1672066.757,1754693.431,1825277.682,1884090.728,2165597.359,2165597.359,2165597.359,2165597.359,2165597.359,2025-05-04,0,5,6,0,0,0,0,spring,1884090.728,36891.0,35168.0,33361.0,33456.0,33252.0,33291.0,35486.0,,,,,,,,30.781446254739215,33.100035916619234,37.0845346621929,38.267471748448784,34.92146356408417,38.49812441356911,41.56781514523445,39.64020943470665,1479471.507,1675587.233,1711235.824,1644030.341,1834469.672,2064676.097,2220470.846
